"Name","Stage","Soundcloud","Description"
"Cloonee","The Ring","https://soundcloud.com/cloonee","After a meteoric rise through the tech house ranks over the past few years, iconic DJ/producer Cloonee has impressed scene royalty with a non-stop series of club-favourite productions, featuring releases on the likes of Big Beat and Solid Grooves. Cloonee’s reputation as a unique and reliable presence behind the decks has quickly made him, and his Hell Bent label, a necessity for the both biggest line-ups and biggest DJs' record bags. Experience the hype for yourself at The Ring!"
"Eats Everything","Toil Trees","https://soundcloud.com/eatseverything","A man with a true hunger for healthy beats, contemporary UK electronic music institution Eats Everything (AKA Daniel Pearce) has a global reputation built on versatility, superlative skills and a positive outlook. Dan is a consummate professional when it comes to channelling the essence of rave, and recent highlights from his discography include rave-tinged banger ‘Miss Honey’ on FFRR, ‘All The Ladies’ with Fatboy Slim, plus remixes of ‘My House’ by Jodie Harsh and more. Get totally omnivorous at the Toil Trees."
"Ewan McVicar","Toil Trees","https://soundcloud.com/ewanmcvicar","I'll tell you something good – Ewan McVicar is playing Toil Trees! The Scottish youngster won Radio 1’s ‘Electronic Track of the Year’ in 2021 with his breakthrough hit (“Tell Me Something Good”, in case you didn't work that out) and has already released on labels such as Optimo, Unknown To The Unknown, Shall Not Fade, Nervous, Higher Ground, KOOKOO and Trick, where he has become a core member of Patrick Topping’s emergent label crew and a resident at Trick's DC10 Ibiza night. Big-hearted positivity and good times to write home about!"
"Friction ft. Linguistics","The Ring","https://soundcloud.com/officialfriction","Multi-award-winning Friction is one of the most revered and respected electronic music artists in the world today. Cutting his teeth in the drum and bass UK underground of the early 2000s, Friction now co-owns the globally renowned Shogun Audio label, Elevate Records, Maraki Records and was the proud host of BBC Radio 1’s weekly D&B show for 4 years. This is all while managing one of the most gruelling DJ schedules in the game week in week out, playing anywhere from Glastonbury to L.A, to Sydney, Tokyo and back to London. Deemed by Pete Tong as ‘one of the big dogs’, he entered the coveted D&B Hall of Fame at the 2011 D&B Arena Awards."
"Gerd Janson","Toil Trees","undefined","Gerd Janson is the quintessential DJ’s DJ, unearthing the gems that get other music lovers hot and excited. Whether at the helm of the long-running Liquid club night at Frankfurt’s Robert Johnson with DJ comrade Thomas Hammann, dishing out simmering analog house as co-owner of label Running Back, or penning many a story for Germany’s Spex and Groove magazines, he seems to run on more powerful batteries than the rest of us. Enjoy this adventure through magic dance music new & old."
"LF System","Toil Trees","https://soundcloud.com/lfsystem","Known for their breakthrough hit “Afraid to Feel” which soundtracked Summer 2022, Scottish duo LF System aren't afraid to get freaky with it with their rollocking house-inspired nu-disco sound. Seemingly bursting from nowhere with the now-certified-platinum single, these up-and-comers deserve a warm welcome in the Toil Trees."
"Shermanology","Toil Trees","https://soundcloud.com/shermanology","Brother/sister duo Andy and Dorothy Sherman have spent the last five years refining their dynamic blend of soul-infused tech house, donning the edge and energy of their Caribbean and Dutch roots to give the dancefloors and airwaves a little kick that has otherwise been missing in electronic music. Shermanology’s signature ‘soultec’ sound revolves around Dorothy's modern soul diva vocals and Andy's Dutch underground production and MC chops, and their debut single “Boyz N Da Club” immediately garnered “Hottest Record in the World” status from Annie Mac."
"Skream","Toil Trees","https://soundcloud.com/skreamizm","He’ll make you want to go ‘bump’ in the night again and again with his frightfully danceable deck selections. This lad puts the ‘don’ in Croydon with his techno, garage, grime and dubstep faves – in fact his general rule of thumb is: if it’s a banger, whack it on. His Let's Get Ravey remix of La Roux's 'In For The Kill' tore up Radio 1 and he’s had massive festival sets at Pukkelpop, Glastonbury and Roskilde. His Toil Trees set’ll be a bloody scream, I tell thee."
"Wilkinson (DJ)","The Beat-Herder Stage","undefined","WILKINSON has seen a steady rise over to the last 9 years to
where he is today. Now a chart topping, festival headlining and critically
acclaimed artist, DJ, live act, writer and record producer. Counting over 3
million sales, 300 million streams, four top 40’s and of course his platinum
selling single ‘Afterglow’ to his name; he shows no sign of slowing up. Having
headlined at Reading & Leeds, Creamfields, SW4, Glastonbury and countless
festivals across the globe, he’s also just finished his 5th summer residency at
Amnesia, Ibiza and most notably sold out Brixton Academy for the second time.
Production and remix credits include The Prodigy, Ed Sheeran, Becky Hill,
Wretch 32 and Rag N Bone Man. He’s now busy working on his 3rd studio album.
The Beat-Herder Stage is gonna go off! "
"10 YEARS OF My Nu Leng & Dread MC ","The Ring","https://soundcloud.com/mynuleng","Descendants of a lineage that dates back to the genesis of rave culture, My Nu Leng are committed to keeping the legacy of UK electronic music alive and kicking. The duo are renowned for their incendiary DJ sets, which join the dots between a myriad of genres to create an all out audio assault. Their deep musical knowledge, intuitive versatility and technical dexterity has led to bookings all over the world, delivering blistering sets on the big stage at festivals like Glastonbury, Outlook and South West Four, plus a long list of prestigious club spaces."
"DJ Boring","Toil Trees","https://soundcloud.com/djboring1990","DJ Boring AKA Tristan Hallis could be the most ironically named performer today: energetic journeys into forgotten gems and future classics, nothing about what he does is boring. He inhabits a space where throwback trance sits comfortably with old-school house, and Belgium Techno syncs with rolling funk. Expect a sweaty, infectious performance where hardware and controllers become a natural extension of his creative self, a conduit through which he presents a fresh take on his music."
"Hannah Laing","Toil Trees","https://soundcloud.com/hann-1","Scottish DJ Hannah Laing grew up nourished by a diet of Sasha, Roger Sanchez, Paul Oakenfold and Dave Pearce. Her own foray into DJ work was nothing short of meteoric, with Hannah playing residencies in Ibiza at age 19, as well as travelling the world supporting major players including Carl Cox, MK, Fisher, Camelphat, Solardo and many more. Her podcast “Hannah's Choice” has sparked sell-out events in Scotland and she's not slowing down any time soon."
"I.Jordan","The Fortress","undefined","Emerging as one of electronic music’s most exciting producers and DJs, I. Jordan is a true disciple of high-energy, fast-paced dance music. After a decade of holding down DJ residencies and promoting DIY parties I. Jordan is now releasing their own music, and expertly produced tracks paired with formidable DJ sets around the world has placed them firmly at the forefront of dance music, with awards and accolades flooding in from DJ Mag and BBC R1. Three American tours last year alone prove I. Jordan isn't slowing down anytime soon and The Fortress is next on their hectic itinerary!"
"Obskür","Toil Trees","https://soundcloud.com/obskurofficial","Hailing from Dublin, Obskür have carved their way onto the scene with their raw and energetic productions like ‘Bayside’ and ‘Twister’, along with remixes for the likes of Dom Dolla and Barbara Tucker. Known for their use of hard hitting 909s, slick hip-hop samples and raw elements, they've played shows with some of the UK and Ireland's biggest clubbing brands in The Warehouse Project, XOYO in London, Creamfields, Reading & Leeds as well as at Amnesia alongside Sonny Fodera and Danny Howard."
"Sherelle","Toil Trees","https://soundcloud.com/iamsherelle","Sherelle is leading a new generation of high-speed ravers who are addicted to jungle, drum ‘n’ bass, footwork and juke. Getting viral attention after a smash Boiler Room set, Sherelle has had a Radio 1 residency, started her own label Hooversound, and has gone on to get pulses racing everywhere from Glasto to the Warehouse Project to Concrete to RA's 24/7 event. More than just gas, Sherelle is a fully-fledged jungle explosion – be sure to have a good brekkie because you'll need some stamina!"
"A.Skillz","The Ring","https://soundcloud.com/a-skillz","Class-A chiller and thriller A.Skillz has been ripping the roof off venues all over the world and shows no signs of slowing. His signature funk edge has gained the support of the biggest names in the industry, from Jazzy Jeff to Pete Tong, Annie Mac to Zane Lowe. His label Jam City has released tracks from the likes of DJ Yoda, Jungle Brothers, Nightmares on Wax and more, whilst his productions have seem him collaborate with Kurtis Blow, Dr Luke, Nasa, Krafty Kuts, DJ Numark, Beardyman, Nick Thayer and Z trip. Skillage in the village!"
"Benny Page","The Fortress","https://soundcloud.com/bennypagemusic","Heavily inspired by the bass lines of dub music, ragga jungle and hip hop, Benny Page has had airplay on major radio stations such as BBC Radio 1, 1xtra, Kiss FM, Choice FM and Rinse FM. His name is synonymous with tight production, heavyweight dance-floor tracks and clinical mixing skills. Expect a carnival-style, energetic stage show with plenty of Jamaican influence thrown in."
"Charlie Tee","The Ring","https://soundcloud.com/charlieteedj","Host of the BBC Radio 1 Drum & Bass Show Charlie Tee is moving from strength to strength with her no-nonsense approach to DJing. Whether you’re watching her cruise from high energy house to gritty peak-time techno in one set, or showcasing her more unhinged side rinsing some D&B and jungle at another show, you’re in for a ride. A seasoned pro with 8 years at Kiss FM under her belt, Charlie has also been busy launching her Total imprint and playing at Tomorrowland, Glastonbury and the Big Weekend."
"Deekline","The Fortress","https://soundcloud.com/djdeekline","According to himself, Deekline has been ‘blowing up clubs on both sides of the Atlantic’, ‘sending bodies flying round the room’ with his trademark garage, jungle and bass medleys for donkey’s years. That might sound worrying to some, but don’t fear the reaper Herders – this is one bassbin blowout you’ll want to get caught up in. Boom!"
"Dream Frequency ","The Factory","http://www.soundcloud.com/dream-frequency","Prepare to Feel So Real as old Prestonian Ian Bland proves his surname a total misnomer with some classic electronic dance vibes. First-wavers from the 80s, Dream Frequency have been sprinkling fairy dust on the decks since your nana took your auntie Leslie for her first donkey ride at Filey, and their tunes are what dreams are made of."
"Eclair FiFi","Toil Trees","https://soundcloud.com/eclairfifi","Eclair Fifi is a Scottish DJ and visual artist who has become of the UK’s most colourful, genre-agnostic DJs through 20-odd years of graft and acclaim. She currently hosts a monthly show on London station NTS, and has featured guests such as Galcher Lustwerk, Nightwave and Jasper James. Through the broadcasts, as well as showcasing her ever-evolving tastes, Eclair Fifi’s sense of humour and enthusiasm for music shine through. In recent years she’s curated stages at Manchester’s Warehouse Project, Amsterdam Dance Event and Scotland’s SkyeLive, and played at festivals like Dekmantel and SXSW."
"Gok Wan","Toil Trees","https://soundcloud.com/gok_wan","Never mind the TV show, Gok's here to show you How To Feel Good Raving with his house and deep house mixes! Known for his Isolation Nation lockdown streams, Gok's bursting out of the kitchen and into Toil Trees, having played a host of venues recently including Space (Leeds) and Freedom (London). Disco and house lovers, this is Wan you don't want to miss!"
"Harriet Jaxxon","The Ring","https://soundcloud.com/harrietjaxxon","Harriet Jaxxon is one of the most exciting, unique and diverse drum and bass DJs to emerge in the UK in recent years. Broadcasting on Capital FM every month and firmly established within London’s sprawling D&B network, Harriet has warmed up for the likes of Andy C, Shy FX, Chase & Status, Sub Focus, Wilkinson and Dimension, and continues to develop both in the studio and behind the decks. Harriet guarantees the right tunes at the right time for the right people, so The Ring is the place to be!"
"Hauswerks","The Ring","https://soundcloud.com/hauswerks","Obsessing over grooves since his school days, Hauswerks has notched up well over a decade of studio experience, engineering for globally recognised names such as Steve Lawler, Doorly and Mark Knight to name but a few. He's released on rising label Moda Black, gaining support from Disclosure and Pete Tong, and has played at some of the best clubs alongside the likes of Hot Since 82, Seth Troxler, Route 94 and more."
"Jaguar","Toil Trees","https://soundcloud.com/jaguarworldwide","Jaguar is a broadcaster and DJ representing the next wave of emerging talent on her BBC Radio 1 show, Introducing Dance. She’s a next-gen tastemaker instigating change through projects such as UTOPIA and The Jaguar Foundation, spotlighting up and coming artists. In 2021 Mixmag named her Broadcaster of the Year, and she has worked in partnership with Ministry of Sound and Sony Music UK Social Justice Fund to increase representation of minorites in the music industry."
